Variable,|Correlación|,|Mejor Correlación|,Mejor Lag,Granger-causa Target,Correlación Δ,MI Normalizada (%),Importancia RF (%),Importancia GB (%),Score Correlación,Score Cross-Corr,Score Granger,Score MI,Score RF,Score GB,SCORE FINAL
Tasa_interes_colocacion_total,0.8785544308487607,0.9274073200313835,3,Sí,0.3108,17.978444075464253,78.55446244804418,76.1410870840974,1.0,1.0,0.8397730343150501,0.7339657391386665,1.0,1.0,0.9289564622422861
IPP,0.5339783834480787,0.545837463374766,-3,Sí,0.3701,22.205420914860454,3.8530267988367637,3.8877469581949753,0.6077920327966574,0.5885628154803597,1.0,0.9065310716683862,0.0490491141911276,0.051059777409022025,0.5338324685909255
TRM,0.5500558042817948,0.5546566565286183,-2,Sí,0.2401,16.058061685571666,3.203337262594213,4.358252211321868,0.6260918902319946,0.5980723297610469,0.6487435828154553,0.655566580996279,0.04077855239239778,0.05723916453291772,0.4377486834550151
PIB_real_trimestral_2015_AE,0.3469231500042949,0.38203452171590696,-7,Sí,0.1776,24.494936366597386,2.4171281214173574,1.9356460489088212,0.39487951778825664,0.4119382211723096,0.47987030532288577,1.0,0.030770093080530504,0.02542183363853094,0.3904799951670855
FAO,0.21580346541390666,0.37922209141474217,-9,Sí,0.2005,12.661728311683701,8.510929211788309,11.690491689899623,0.24563471292885242,0.4089056482775112,0.5417454741961633,0.5169120720374647,0.10834431229692937,0.1535372311796329,0.3291799084860923
Brent,0.025817163914360598,0.15199137086857906,11,No,0.0905,6.601408645822524,3.4611161573191773,1.9867760075773067,0.02938595835140112,0.16388847444447135,0.24452850580924074,0.2695009510138822,0.0440600832779978,0.02609334964423247,0.1295762204235376
